,Refdate,Id_ShareMov,Id_Shareholder,Id_Entity,Id_Product,Id_PFeeType,Id_RiskFactorBenchmark,Td_Price,Td_Value,Quote_Date,Open_ShareValue,EffQuote_Date,Subscription_Amount,Subscription_Shares,Td_OpenShares,Td_RedempShares,Td_CloseShares,Td_CloseAmount,PFee_DateBase,PFee_ShareValue,RiskFactor_Appreciation,PFee_ShareBaseBenchmark,PFeeBenchmark_Amount,Td_Performance,Closed
0,2020-02-26,41,12,1,2675,,,1601.0411342,1601.0411342,2016-12-30,1457.740112304688,2016-12-30,42256804.0,28987.88672,28987.8867188,,28987.88672,46410799.03,2016-12-30,1457.7401123,,,,,
1,2020-02-26,45,12,2,2676,,,1544.5918376,1544.5918376,2016-12-30,1342.447143554688,2016-12-30,15763981.0,11742.71973,11742.7197266,,11742.71973,18137709.05,2016-12-30,1342.4471436,,,,,
2,2020-02-26,192,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-03-11,3654.4260254,2019-03-11,38000.0,10.39835,10.22555,,10.22555,43447.2,2019-03-11,3654.4260254,1.0541919,3852.4664005,,,
3,2020-02-26,115,18,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-08-07,3420.863525390625,2018-08-07,112000.0,32.74027,31.88872,,31.88872,135491.56,2018-08-07,3420.8635254,1.0927541,3738.1627828,,,
4,2020-02-26,116,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-08-08,3413.68115234375,2018-08-08,4000000.0,1171.7556,539.5680719,,539.56807,2292563.62,2018-08-08,3413.6811523,1.0924856,3729.3974157,,,
5,2020-02-26,118,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-08-08,3413.68115234375,2018-08-08,200000.0,58.58778,57.04631,,57.04631,242383.31,2018-08-08,3413.6811523,1.0924856,3729.3974157,,,
6,2020-02-26,132,20,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-10-15,3481.4619141,2018-10-15,2000000.0,574.47131,574.47131,,574.47131,2440863.53,2018-10-15,3481.4619141,1.080199,3760.6718331,,,
7,2020-02-26,95,11,14,4889,1.0,458.0,1068.514986,1068.514986,2018-05-04,1000.0,2018-05-04,38612368.0,38612.36719,38612.3671875,,38612.36719,41257892.99,2018-05-04,1000.0,1.1106262,1110.6262337,,,
8,2020-02-26,134,329,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-10-26,3492.4335938,2018-10-26,50000.0,14.31666,13.98725,,13.98725,59430.24,2018-10-26,3492.4335938,1.0778085,3764.1745522,,,
9,2020-02-26,130,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-09-13,3366.5554199,2018-09-13,4000000.0,1188.15807,1188.15807,,1188.15807,5048349.08,2018-09-13,3366.5554199,1.0857928,3655.3817739,,,
10,2020-02-26,141,22,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-11-27,3484.4182129,2018-11-27,50000.0,14.3496,14.01499,,14.01499,59548.11,2018-11-27,3484.4182129,1.072515,3737.0909705,,,
11,2020-02-26,142,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-12-06,3495.9870605,2018-12-06,80000.0,22.88338,22.3603,,22.3603,95006.38,2018-12-06,3495.9870605,1.0706685,3743.0432035,,,
12,2020-02-26,190,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-02-22,3631.2785645,2019-02-22,2000000.0,550.77019,550.77019,,550.77019,2340160.16,2019-02-22,3631.2785645,1.0565301,3836.5551224,,,
13,2020-02-26,193,28,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-03-11,3654.4260254,2019-03-11,25000.0,6.84102,6.72711,,6.72711,28582.73,2019-03-11,3654.4260254,1.0541919,3852.4664005,,,
14,2020-02-26,195,50,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-03-27,3667.4985352,2019-03-27,50000.0,13.63327,13.40973,,13.40973,56976.42,2019-03-27,3667.4985352,1.0510824,3854.8431549,,,
15,2020-02-26,200,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-03,3698.8212891,2019-04-03,275000.0,74.34801,73.24259,,73.24259,311199.47,2019-04-03,3698.8212891,1.0497895,3882.9836402,,,
16,2020-02-26,212,54,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-30,3742.0200195,2019-04-30,7000.0,1.87065,1.84737,,1.84737,7849.27,2019-04-30,3742.0200195,1.0451481,3910.9650655,,,
17,2020-02-26,196,23,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-03-27,3667.4985352,2019-03-27,10000.0,2.72665,2.69271,,2.69271,11441.02,2019-03-27,3667.4985352,1.0510824,3854.8431549,,,
18,2020-02-26,213,58,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-30,3742.0200195,2019-04-30,25000.0,6.68088,6.59292,,6.59292,28012.57,2019-04-30,3742.0200195,1.0451481,3910.9650655,,,
19,2020-02-26,218,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-14,3749.7661133,2019-05-14,2400000.0,640.03992,640.03992,,640.03992,2719457.13,2019-05-14,3749.7661133,1.0428351,3910.3877052,,,
20,2020-02-26,351,55,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-07-04,3880.2915039,2019-07-04,10000.0,2.57713,2.55637,,2.55637,10861.73,2019-07-04,3880.2915039,1.0336342,4010.8021121,,,
21,2020-02-26,216,55,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-05-10,3755.7368164,2019-05-10,25000.0,6.65648,6.57363,,6.57363,27930.61,2019-05-10,3755.7368164,1.0433487,3918.5429407,,,
22,2020-02-26,104,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-07-12,3322.72607421875,2018-07-12,240000.0,72.22985,70.0540608,,70.05406,297651.77,2018-07-12,3322.7260042,1.0975996,3647.0228296,,,
23,2020-02-26,106,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-07-16,3387.383056640625,2018-07-16,200000.0,59.04263,57.4240992,,57.4241,243988.5,2018-07-16,3387.3830566,1.0970602,3716.1630729,,,
24,2020-02-26,108,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-07-17,3395.0029296875,2018-07-17,120000.0,35.34607,34.3884093,,34.38841,146112.46,2018-07-17,3395.0029297,1.0967906,3723.6071599,,,
25,2020-02-26,112,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2018-07-27,3428.548828125,2018-07-27,100000.0,29.16686,28.4176406,,28.41764,120743.33,2018-07-27,3428.5488281,1.094636,3753.0128073,,,
26,2020-02-26,2667,580,3,2335,1.0,458.0,4248.8867457,4248.8867457,2020-01-15,4211.918457,2020-01-15,30000.0,7.12264,7.122645,,7.12264,30263.29,2020-01-15,4211.918457,1.0046812,4231.6352995,,,
27,2020-02-26,162,23,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-01-11,3536.0209961,2019-01-11,25000.0,7.07009,6.90967,,6.90967,29358.41,2019-01-11,3536.0209961,1.0643616,3763.6048114,,,
28,2020-02-26,191,16,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-02-26,3636.1647949,2019-02-26,60000.0,16.5009,16.21483,,16.21483,68894.98,2019-02-26,3636.1647949,1.0560101,3839.8266078,,,
29,2020-02-26,207,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,2278065.99,2019-04-16,3730.2578125,1.0474662,3907.3190054,,,
30,2020-02-26,210,20,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,2278065.99,2019-04-16,3730.2578125,1.0474662,3907.3190054,,,
31,2020-02-26,211,56,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-16,3730.2578125,2019-04-16,25000.0,6.70195,6.6106,,6.6106,28087.69,2019-04-16,3730.2578125,1.0474662,3907.3190054,,,
32,2020-02-26,202,52,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,5.4372,,5.4372,23102.05,2019-04-12,3723.2595215,1.047982,3901.9091193,,,
33,2020-02-26,203,53,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,6.62117,,6.62117,28132.6,2019-04-12,3723.2595215,1.047982,3901.9091193,,,
34,2020-02-26,204,17,3,2335,1.0,458.0,4248.8867457,4248.8867457,2019-04-15,3725.8435059,2019-04-15,2000000.0,536.7912,536.7912,,536.7912,2280765.01,2019-04-15,3725.8435059,1.0477241,3903.6560098,,,
