,Id_ShareMov,Shareholder_Id,Shareholder_Name,Id_Entity,Entity_name,Id_Product,Product_name,Id_Currency,ShareValue,Request_Date,Quote_Date,EffQuote_date,EffectiveFin_Date,Movimentação,Instrumento_Movimentação,Net_Amount,Number_Shares,Close_Date,Closed,Distribuidor
0,3129,108,ORAMA DTVM GRUPO I - P/C 19063681,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,5253.14,1.2198662,,,ORAMA DTVM GRUPO I
1,3130,240,ORAMA DTVM GRUPO I - P/C 19790491,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,4322.75,1.0038142,,,ORAMA DTVM GRUPO I
2,3131,763,ORAMA PC 18955381,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,25000.0,5.8054141,,,ORAMA DTVM GRUPO I
3,3132,618,ORAMA PC 18049171,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,15000.0,3.4832485,,,ORAMA DTVM GRUPO I
4,3133,633,ORAMA PC 20540621,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,2494.15,0.5791829,,,ORAMA DTVM GRUPO I
5,3134,298,ORAMA DTVM GRUPO I - P/C 20530852,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,1000.0,0.2322166,,,ORAMA DTVM GRUPO I
6,3135,534,ORAMA PC 20091581,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,1160.0,0.2693712,,,ORAMA DTVM GRUPO I
7,3136,151,ORAMA DTVM GRUPO I - P/C 18526431,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,10000.0,2.3221656,,,ORAMA DTVM GRUPO I
8,3137,621,ORAMA PC 19604791,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,15000.0,3.4832485,,,ORAMA DTVM GRUPO I
9,3138,764,ATIVA 19392,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4306.3250251,2020-02-26,2020-02-27,2020-02-27,2020-02-26,Aplicação,Financeiro,34037.36,7.9040386,,,ATIVA INVESTIMENTOS CVM S.A
