,Id_ShareMov,Shareholder_Id,Shareholder_Name,Id_Entity,Entity_name,Id_Product,Product_name,Id_Currency,ShareValue,Request_Date,Quote_Date,EffQuote_date,EffectiveFin_Date,Movimentação,Instrumento_Movimentação,Net_Amount,Number_Shares,Close_Date,Closed,Distribuidor
0,2728,266,ATIVA 97219,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-01-20,2020-02-19,2020-02-19,2020-02-20,Resgate,Financeiro,-1000.0,-0.2325453,,,ATIVA INVESTIMENTOS CVM S.A
1,3063,491,ORAMA DTVM GRUPO I - P/C 18865841,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,22000.0,5.1159972,,,ORAMA DTVM GRUPO I
2,3064,706,ORAMA PC 24823319,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,4050.0,0.9418086,,,ORAMA DTVM GRUPO I
3,3065,736,ORAMA PC 18736881,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,60000.0,13.9527196,,,ORAMA DTVM GRUPO I
4,3066,737,ORAMA PC 18733721,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,15000.0,3.4881799,,,ORAMA DTVM GRUPO I
5,3067,738,ORAMA PC 24265232,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,99800.0,23.2080236,,,ORAMA DTVM GRUPO I
6,3068,56,ORAMA DTVM GRUPO I - P/C 19493801,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,20000.0,4.6509065,,,ORAMA DTVM GRUPO I
7,3069,125,ORAMA DTVM GRUPO I - P/C 18895311,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,1476.08,0.3432555,,,ORAMA DTVM GRUPO I
8,3070,739,ORAMA PC 19845471,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,5000.0,1.1627266,,,ORAMA DTVM GRUPO I
9,3071,492,ORAMA DTVM GRUPO I - P/C 18060511,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,1164.41,0.2707781,,,ORAMA DTVM GRUPO I
10,3072,297,ORAMA DTVM GRUPO I - P/C 20119261,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,1000.0,0.2325453,,,ORAMA DTVM GRUPO I
11,3073,740,ORAMA PC 19922891,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,5350.83,1.2443105,,,ORAMA DTVM GRUPO I
12,3074,741,ANDBANK 552985,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,501140.28,116.5378304,,,ANDBANK - PRIVATE PARTNERS
13,3075,742,ANDBANK 552920,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4300.2369244,2020-02-18,2020-02-19,2020-02-19,2020-02-18,Aplicação,Financeiro,623742.0,145.0482871,,,ANDBANK - PRIVATE PARTNERS
